abv,ibu,id,name,style,brewery_id,ounces,breweryUuid
0.05,,1436,Pub Beer,American Pale Lager,408,12.0,8aeb41b6-5d7e-4b56-8170-af58e83e6c3d
0.066,,2265,Devil's Cup,American Pale Ale (APA),177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.071,,2264,Rise of the Phoenix,American IPA,177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.09,,2263,Sinister,American Double / Imperial IPA,177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.075,,2262,Sex and Candy,American IPA,177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.077,,2261,Black Exodus,Oatmeal Stout,177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.045,,2260,Lake Street Express,American Pale Ale (APA),177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.065,,2259,Foreman,American Porter,177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.055,,2258,Jade,American Pale Ale (APA),177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.086,,2131,Cone Crusher,American Double / Imperial IPA,177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.072,,2099,Sophomoric Saison,Saison / Farmhouse Ale,177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.073,,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.069,,2097,Garce Selé,Saison / Farmhouse Ale,177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.085,,1980,Troll Destroyer,Belgian IPA,177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.061,60.0,1979,Bitter Bitch,American Pale Ale (APA),177,12.0,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb
0.0819999999999999,,1593,He Said Baltic-Style Porter,Baltic Porter,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.0819999999999999,,1592,He Said Belgian-Style Tripel,Tripel,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.099,92.0,1036,Lower De Boom,American Barleywine,368,8.4,63baab9a-b561-4eff-8619-f95290a61b77
0.079,45.0,1024,Fireside Chat,Winter Warmer,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.079,,976,Marooned On Hog Island,American Stout,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.044,42.0,876,Bitter American,American Pale Ale (APA),368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.049,17.0,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.049,17.0,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.049,17.0,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.07,70.0,799,21st Amendment IPA (2006),American IPA,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.07,70.0,797,Brew Free! or Die IPA (2008),American IPA,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.07,70.0,796,Brew Free! or Die IPA (2009),American IPA,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.085,52.0,531,Special Edition: Allies Win The War!,English Strong Ale,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.0969999999999999,94.0,432,Hop Crisis,American Double / Imperial IPA,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.044,42.0,353,Bitter American (2011),American Pale Ale (APA),368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.079,45.0,321,Fireside Chat (2010),Winter Warmer,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
0.068,65.0,173,Back in Black,American Black Ale,368,12.0,63baab9a-b561-4eff-8619-f95290a61b77
