beer_id,abv,external_brewery_id,ibu,external_beer_id,name,ounces,style
c9c8c5af-1646-41e3-80b6-69bef5c328c4,0.05,408,,1436,Pub Beer,12,American Pale Lager
b341b7de-45e9-4699-99fb-7abd09c3f025,0.066,177,,2265,Devil's Cup,12,American Pale Ale (APA)
03914dd1-1efd-44cf-b7cb-fcac495062bb,0.071,177,,2264,Rise of the Phoenix,12,American IPA
c1b223fc-0e18-4532-9ae3-717d20f36197,0.09,177,,2263,Sinister,12,American Double / Imperial IPA
10d166ff-2258-47a4-a1e1-8d671f5b0cfc,0.075,177,,2262,Sex and Candy,12,American IPA
9d08fb31-328f-4351-81cd-f516c3497748,0.077,177,,2261,Black Exodus,12,Oatmeal Stout
6bdd26ad-b4f5-424a-8d0d-541c887565ed,0.045,177,,2260,Lake Street Express,12,American Pale Ale (APA)
eb0db47f-44b8-4384-8307-b18faff507aa,0.065,177,,2259,Foreman,12,American Porter
0504b99d-06bd-4daf-b349-c3e07fb12d09,0.055,177,,2258,Jade,12,American Pale Ale (APA)
2a883fdf-0ddb-4ef6-a034-0367f7f884f6,0.086,177,,2131,Cone Crusher,12,American Double / Imperial IPA
e3d8c8f8-79b0-4ea5-b9ec-f1d10de048f9,0.072,177,,2099,Sophomoric Saison,12,Saison / Farmhouse Ale
bd454f09-ea97-4091-94da-c954b66a3c72,0.073,177,,2098,Regional Ring Of Fire,12,Saison / Farmhouse Ale
a7c4e8fd-f8cf-41f2-b661-7407a41bc305,0.069,177,,2097,Garce Selé,12,Saison / Farmhouse Ale
bc1f2365-2734-4c05-9654-91e4c523447c,0.085,177,,1980,Troll Destroyer,12,Belgian IPA
c4a31e6f-96d5-4a41-9b13-c5d4fe618225,0.061,177,60,1979,Bitter Bitch,12,American Pale Ale (APA)
fb4a67cb-6941-4e6a-9e7f-e1145bbc6d78,0.06,154,,2318,Ginja Ninja,12,Cider
77a9495c-7674-45a9-8b77-e800d8b49d9a,0.06,154,,2170,Cherried Away,12,Cider
684825aa-04cc-4e68-b609-9b2a8c78f770,0.06,154,,2169,Rhubarbarian,12,Cider
eccba843-5b06-4824-90bc-dd896597ccf0,0.06,154,,1502,BrightCider,12,Cider
e318d613-1409-4d97-a45e-b2294286d0c9,0.082,368,,1593,He Said Baltic-Style Porter,12,Baltic Porter
02265a77-4e33-47a2-a9a7-380a03de2823,0.082,368,,1592,He Said Belgian-Style Tripel,12,Tripel
d5366841-652c-4c1e-9a49-3c4095e1e931,0.099,368,92,1036,Lower De Boom,8.4,American Barleywine
b622ca3e-4ad8-4713-8c27-185c5e33ca12,0.079,368,45,1024,Fireside Chat,12,Winter Warmer
29acd279-05e2-4c7b-958b-5285832052aa,0.079,368,,976,Marooned On Hog Island,12,American Stout
330d00fe-3d76-409b-a7f0-0a5b7376bd0f,0.044,368,42,876,Bitter American,12,American Pale Ale (APA)
a7593b9f-c47b-40db-88e7-f764de8e1862,0.049,368,17,802,Hell or High Watermelon Wheat (2009),12,Fruit / Vegetable Beer
7f9d284d-6401-4d13-b36e-e75736482e43,0.049,368,17,801,Hell or High Watermelon Wheat (2009),12,Fruit / Vegetable Beer
09081250-dbe2-41b0-9650-9d099d0a6d87,0.049,368,17,800,21st Amendment Watermelon Wheat Beer (2006),12,Fruit / Vegetable Beer
2a17916b-6d20-4521-a5c0-004e6e1c4fdd,0.07,368,70,799,21st Amendment IPA (2006),12,American IPA
fe644f65-aa9e-4c01-9782-5fc9d79bf2ed,0.07,368,70,797,Brew Free! or Die IPA (2008),12,American IPA
565fc4b5-cb20-43c5-b786-e83b6d95a720,0.07,368,70,796,Brew Free! or Die IPA (2009),12,American IPA
645a358d-8b1d-43e5-a5ee-e23f8e02e818,0.085,368,52,531,Special Edition: Allies Win The War!,12,English Strong Ale
81f619d0-35e3-4141-a284-0357d0e9d3b8,0.097,368,94,432,Hop Crisis,12,American Double / Imperial IPA
92bdd6cb-c8a5-4215-b5d9-aff5cafde2c8,0.044,368,42,353,Bitter American (2011),12,American Pale Ale (APA)
b4aff95d-9c58-46a7-bed1-9a1a378f93ad,0.079,368,45,321,Fireside Chat (2010),12,Winter Warmer
a32643da-c9ac-4288-8440-75909cd40f70,0.068,368,65,173,Back in Black,12,American Black Ale
2a5c65a2-4656-4687-9ccf-be116f22f448,0.083,368,35,11,Monk's Blood,12,Belgian Dark Ale
746afa30-8bdb-4e0c-978a-d211d4b509a6,0.07,368,65,10,Brew Free! or Die IPA,12,American IPA
6e617e5b-f84c-4494-b25f-3528d369f92d,0.049,368,17,9,Hell or High Watermelon Wheat,12,Fruit / Vegetable Beer
a724fa62-4f43-4944-a347-198a7c852dfd,0.07,67,82,2519,Bimini Twist,12,American IPA
0b458c9d-4d7b-4665-929d-6db4680c61e6,0.05,67,,2518,Beach Blonde,12,American Blonde Ale
b109aba4-be70-4bbf-832e-c88a9c6f21c0,0.059,67,,2517,Rod Bender Red,12,American Amber / Red Ale
3fb07b28-47a0-4d23-a4d6-5d9d22411926,0.035,60,11,2545,Passion Fruit Prussia,12,Berliner Weissbier
006a548a-35c0-49ee-93e0-34716c46ea66,0.045,60,18,2544,Send Help,12,American Blonde Ale
12b47250-fe93-4456-85f5-ecb9b923d937,0.055,60,,2324,Cast Iron Oatmeal Brown,12,American Brown Ale
bc2dbd14-f689-4743-b8e6-d6274f5cb0af,0.06,60,,2288,Reprise Centennial Red,12,American Amber / Red Ale
03b83b03-1e62-4289-8a13-dfcd4f2ad0fb,0.055,60,,2287,Alter Ego,12,American Black Ale
00692e17-b65d-405a-9c50-97faa655f904,0.065,60,,2286,Divided Sky,12,American IPA
11c6f44c-0615-4daa-9601-2bc9753e3202,0.065,60,,2285,Resurrected,12,American IPA
0fcd62dd-7375-4f0f-8137-29ff789f4858,0.05,60,28,1870,Contact High,12,American Pale Wheat Ale
b3f01f56-6567-4381-a95c-5e46a72f2e98,0.065,27,,2603,Galaxyfest,16,American IPA
94dd44f3-b3fa-4fff-8fb3-7e575919abab,0.05,27,45,2602,Citrafest,16,American IPA
7e203777-e52e-471e-bf7f-2ea4bb7daff2,0.09,27,,2220,Barn Yeti,16,Belgian Strong Dark Ale
e765e93d-a312-4211-b585-42a07de6b20a,0.069,27,65,2219,Scarecrow,16,American IPA
a86070ed-ffcb-4992-a6f8-3795001ccb08,0.09,27,50,2218,Ironman,16,English Strong Ale
eeae5d88-b57d-403b-9b51-86ae31c6a465,0.046,27,15,2217,Honey Kolsch,16,Kölsch
160c0ca6-67b0-4f75-a50c-173229dddb1c,0.052,27,18,2216,Copperhead Amber,16,Belgian Dark Ale
0c289892-daf0-4963-9da2-eaaf54e23141,0.059,481,75,972,Rude Parrot IPA,16,American IPA
98fe7fe8-90b9-464e-a053-315bdb2385d0,0.054,481,30,866,British Pale Ale (2010),16,English Pale Ale
f96344c9-6ec4-44e5-adda-dfd14b410a47,0.054,481,30,48,British Pale Ale,16,English Pale Ale
0af87d98-5ba2-47e3-9029-21906a0a6bb5,0.084,481,82,47,Ballz Deep Double IPA,16,American Double / Imperial IPA
89c50251-f576-497c-8e46-dbcd9d162d6b,0.038,373,,1583,Wolfman's Berliner,12,Berliner Weissbier
5ff93c2d-0204-4f76-8a40-6fabec8d3981,0.055,462,26,1165,Colorado Native,12,American Amber / Red Lager
0a5dbbc6-6036-4e5d-8d86-260352478fc0,0.055,462,26,431,Colorado Native (2011),12,American Amber / Red Lager
1b09f40f-1a0f-4d13-be2a-97cd30033cd7,0.065,533,52,516,Jockamo IPA,12,American IPA
86bb9823-a208-4b25-b598-759ed6510269,0.042,533,13,515,Purple Haze,12,Fruit / Vegetable Beer
2eb7d17d-b396-414e-99bd-468e69151cc1,0.045,533,17,514,Abita Amber,12,American Amber / Red Lager
49e04606-6223-4bc4-a362-cc989b9cdcaf,0.082,62,68,2540,Citra Ass Down,16,American IPA
16304282-cadb-4fe4-a7ca-634b7cfa5ffb,0.05,62,20,2539,The Brown Note,16,American Brown Ale
56422d01-385d-4bdf-b6d5-2e72ccd80c0c,0.08,1,68,2686,Citra Ass Down,16,American Double / Imperial IPA
403711e9-973f-4770-831d-c180e9f9da8a,0.125,1,80,2685,London Balling,16,English Barleywine
bdf3da00-baeb-4d7a-b1e3-e828aaf53b49,0.077,1,25,2684,35 K,16,Milk / Sweet Stout
1abc2238-c09e-4425-98dd-15d7a11b9823,0.042,1,42,2683,A Beer,16,American Pale Ale (APA)
6302618c-4d45-4e5e-b6d9-d09d10622f5e,0.05,1,25,2682,Rules are Rules,16,German Pilsener
3bec08e5-277c-470b-b154-166749a12158,0.066,1,21,2681,Flesh Gourd'n,16,Pumpkin Ale
74316613-4383-4066-b9c9-e76c9869585b,0.04,1,13,2680,Sho'nuff,16,Belgian Pale Ale
20be513b-3e54-4bbf-953a-343afc3be562,0.055,1,17,2679,Bloody Show,16,American Pilsner
1879dfdb-9f3e-4609-8d53-894bf1ff0a78,0.076,1,68,2678,Rico Sauvin,16,American Double / Imperial IPA
7fcddec1-d62d-4588-9f56-74648ae0823d,0.051,1,38,2677,Coq de la Marche,16,Saison / Farmhouse Ale
59c55219-4bf7-4b9b-8133-bf0a5888fa3b,0.065,1,,2676,Kamen Knuddeln,16,American Wild Ale
a19d6cbc-e970-4cf6-94fc-b900b822159d,0.06,1,65,2675,Pile of Face,16,American IPA
d038fab7-8465-40c7-a6e1-9802035af6a3,0.05,1,20,2674,The Brown Note,16,English Brown Ale
907c83cd-3175-4727-9768-5e2dacecfb4e,0.053,367,35,1594,Maylani's Coconut Stout,16,American Stout
32072381-37ca-49a0-95d9-eb993dcf905a,0.05,367,35,1162,Oatmeal PSA,16,American Pale Ale (APA)
8a027e1b-3a30-4972-a850-978411ceba86,0.052,367,33,1137,Pre Flight Pilsner,16,American Pilsner
d84c4bee-fdad-4d51-9003-25797a609748,0.04,117,20,2403,P-Town Pilsner,12,American Pilsner
